"","X","Day","Month","Year","count","mdy","wd"
"180",180,3,4,2016,6789,2016-04-03,1
"181",181,3,5,2010,5361,2010-05-03,2
"182",182,3,5,2011,5042,2011-05-03,3
"183",183,3,5,2012,4327,2012-05-03,5
"184",184,3,5,2013,2551,2013-05-03,6
"185",185,3,5,2014,2856,2014-05-03,7
"186",186,3,5,2015,6258,2015-05-03,1
"187",187,3,6,2010,4927,2010-06-03,5
"188",188,3,6,2011,2581,2011-06-03,6
"189",189,3,6,2012,4819,2012-06-03,1
"190",190,3,6,2013,5282,2013-06-03,2
"191",191,3,6,2014,5656,2014-06-03,3
"192",192,3,6,2015,5819,2015-06-03,4
"193",193,3,7,2010,1728,2010-07-03,7
"194",194,3,7,2011,2084,2011-07-03,1
"195",195,3,7,2012,2572,2012-07-03,3
"196",196,3,7,2013,2425,2013-07-03,4
"197",197,3,7,2014,2417,2014-07-03,5
"198",198,3,7,2015,2814,2015-07-03,6
"199",199,3,8,2010,5298,2010-08-03,3
"200",200,3,8,2011,4851,2011-08-03,4
"201",201,3,8,2012,2515,2012-08-03,6
"202",202,3,8,2013,2254,2013-08-03,7
"203",203,3,8,2014,4778,2014-08-03,1
"204",204,3,8,2015,6536,2015-08-03,2
"205",205,3,9,2010,2616,2010-09-03,6
"206",206,3,9,2011,2155,2011-09-03,7
"207",207,3,9,2012,4728,2012-09-03,2
"208",208,3,9,2013,4703,2013-09-03,3
"209",209,3,9,2014,5727,2014-09-03,4
"210",210,3,9,2015,5420,2015-09-03,5
"211",211,3,10,2010,6114,2010-10-03,1
"212",212,3,10,2011,5445,2011-10-03,2
"213",213,3,10,2012,4807,2012-10-03,4
"214",214,3,10,2013,4770,2013-10-03,5
"215",215,3,10,2014,3014,2014-10-03,6
"216",216,3,10,2015,4559,2015-10-03,7
"217",217,3,11,2010,6557,2010-11-03,4
"218",218,3,11,2011,5991,2011-11-03,5
"219",219,3,11,2012,3806,2012-11-03,7
"220",220,3,11,2013,5979,2013-11-03,1
"221",221,3,11,2014,4877,2014-11-03,2
"222",222,3,11,2015,5892,2015-11-03,3
"223",223,3,12,2010,4179,2010-12-03,6
"224",224,3,12,2011,2513,2011-12-03,7
"225",225,3,12,2012,5062,2012-12-03,2
"226",226,3,12,2013,5214,2013-12-03,3
"227",227,3,12,2014,6091,2014-12-03,4
"228",228,3,12,2015,6104,2015-12-03,5
"229",229,4,1,2010,7386,2010-01-04,2
"230",230,4,1,2011,5918,2011-01-04,3
"231",231,4,1,2012,6469,2012-01-04,4
"232",232,4,1,2013,3459,2013-01-04,6
"233",233,4,1,2014,4962,2014-01-04,7
"234",234,4,1,2015,6547,2015-01-04,1
"235",235,4,1,2016,11566,2016-01-04,2
"236",236,4,2,2010,4954,2010-02-04,5
"237",237,4,2,2011,3328,2011-02-04,6
"238",238,4,2,2012,2383,2012-02-04,7
"239",239,4,2,2013,5968,2013-02-04,2
"240",240,4,2,2014,6580,2014-02-04,3
"241",241,4,2,2015,6952,2015-02-04,4
"242",242,4,2,2016,5671,2016-02-04,5
"243",243,4,3,2010,5346,2010-03-04,5
"244",244,4,3,2011,3184,2011-03-04,6
"245",245,4,3,2012,5372,2012-03-04,1
"246",246,4,3,2013,5506,2013-03-04,2
"247",247,4,3,2014,6127,2014-03-04,3
"248",248,4,3,2015,6037,2015-03-04,4
"249",249,4,3,2016,4391,2016-03-04,6
"250",250,4,4,2010,5546,2010-04-04,1
"251",251,4,4,2011,4656,2011-04-04,2
"252",252,4,4,2012,4214,2012-04-04,4
"253",253,4,4,2013,4497,2013-04-04,5
"254",254,4,4,2014,3564,2014-04-04,6
"255",255,4,4,2015,2940,2015-04-04,7
"256",256,4,4,2016,7407,2016-04-04,2
"257",257,4,5,2010,5483,2010-05-04,3
"258",258,4,5,2011,4901,2011-05-04,4
"259",259,4,5,2012,2000,2012-05-04,6
"260",260,4,5,2013,2274,2013-05-04,7
"261",261,4,5,2014,5803,2014-05-04,1
"262",262,4,5,2015,6335,2015-05-04,2
"263",263,4,6,2010,2706,2010-06-04,6
"264",264,4,6,2011,1930,2011-06-04,7
"265",265,4,6,2012,4833,2012-06-04,2
"266",266,4,6,2013,5459,2013-06-04,3
"267",267,4,6,2014,5277,2014-06-04,4
"268",268,4,6,2015,5295,2015-06-04,5
"269",269,4,7,2010,3372,2010-07-04,1
"270",270,4,7,2011,5270,2011-07-04,2
"271",271,4,7,2012,5645,2012-07-04,4
"272",272,4,7,2013,3993,2013-07-04,5
"273",273,4,7,2014,2983,2014-07-04,6
"274",274,4,7,2015,3042,2015-07-04,7
"275",275,4,8,2010,5310,2010-08-04,4
"276",276,4,8,2011,4564,2011-08-04,5
"277",277,4,8,2012,2346,2012-08-04,7
"278",278,4,8,2013,5212,2013-08-04,1
"279",279,4,8,2014,5798,2014-08-04,2
"280",280,4,8,2015,6655,2015-08-04,3
"281",281,4,9,2010,1923,2010-09-04,7
"282",282,4,9,2011,2797,2011-09-04,1
"283",283,4,9,2012,4689,2012-09-04,3
"284",284,4,9,2013,4595,2013-09-04,4
"285",285,4,9,2014,5243,2014-09-04,5
"286",286,4,9,2015,3599,2015-09-04,6
"287",287,4,10,2010,5521,2010-10-04,2
"288",288,4,10,2011,5142,2011-10-04,3
"289",289,4,10,2012,4309,2012-10-04,5
"290",290,4,10,2013,2472,2013-10-04,6
"291",291,4,10,2014,3070,2014-10-04,7
"292",292,4,10,2015,6497,2015-10-04,1
"293",293,4,11,2010,6552,2010-11-04,5
"294",294,4,11,2011,3861,2011-11-04,6
"295",295,4,11,2012,6876,2012-11-04,1
"296",296,4,11,2013,5377,2013-11-04,2
"297",297,4,11,2014,5466,2014-11-04,3
"298",298,4,11,2015,5813,2015-11-04,4
"299",299,4,12,2010,3861,2010-12-04,7
"300",300,4,12,2011,5332,2011-12-04,1
"301",301,4,12,2012,5455,2012-12-04,3
"302",302,4,12,2013,5049,2013-12-04,4
"303",303,4,12,2014,5452,2014-12-04,5
"304",304,4,12,2015,4205,2015-12-04,6
"305",305,5,1,2010,6105,2010-01-05,3
"306",306,5,1,2011,5559,2011-01-05,4
"307",307,5,1,2012,5243,2012-01-05,5
"308",308,5,1,2013,2720,2013-01-05,7
"309",309,5,1,2014,6618,2014-01-05,1
"310",310,5,1,2015,7154,2015-01-05,2
"311",311,5,1,2016,7954,2016-01-05,3
"312",312,5,2,2010,3136,2010-02-05,6
"313",313,5,2,2011,2913,2011-02-05,7
"314",314,5,2,2012,4837,2012-02-05,1
"315",315,5,2,2013,5561,2013-02-05,3
"316",316,5,2,2014,8276,2014-02-05,4
"317",317,5,2,2015,6946,2015-02-05,5
"318",318,5,2,2016,4038,2016-02-05,6
"319",319,5,3,2010,3104,2010-03-05,6
"320",320,5,3,2011,2816,2011-03-05,7
"321",321,5,3,2012,5268,2012-03-05,2
"322",322,5,3,2013,5897,2013-03-05,3
"323",323,5,3,2014,6348,2014-03-05,4
"324",324,5,3,2015,6786,2015-03-05,5
"325",325,5,3,2016,3698,2016-03-05,7
"326",326,5,4,2010,5848,2010-04-05,2
"327",327,5,4,2011,4896,2011-04-05,3
"328",328,5,4,2012,3493,2012-04-05,5
"329",329,5,4,2013,2764,2013-04-05,6
"330",330,5,4,2014,3007,2014-04-05,7
"331",331,5,4,2015,6069,2015-04-05,1
"332",332,5,4,2016,6658,2016-04-05,3
"333",333,5,5,2010,5358,2010-05-05,4
"334",334,5,5,2011,4373,2011-05-05,5
"335",335,5,5,2012,2010,2012-05-05,7
"336",336,5,5,2013,4991,2013-05-05,1
"337",337,5,5,2014,5441,2014-05-05,2
"338",338,5,5,2015,6123,2015-05-05,3
"339",339,5,6,2010,2582,2010-06-05,7
"340",340,5,6,2011,5049,2011-06-05,1
"341",341,5,6,2012,4749,2012-06-05,3
"342",342,5,6,2013,4938,2013-06-05,4
"343",343,5,6,2014,5154,2014-06-05,5
"344",344,5,6,2015,3910,2015-06-05,6
"345",345,5,7,2010,6818,2010-07-05,2
"346",346,5,7,2011,5496,2011-07-05,3
"347",347,5,7,2012,5163,2012-07-05,5
"348",348,5,7,2013,2689,2013-07-05,6
"349",349,5,7,2014,2982,2014-07-05,7
"350",350,5,7,2015,6171,2015-07-05,1
"351",351,5,8,2010,4668,2010-08-05,5
"352",352,5,8,2011,2528,2011-08-05,6
"353",353,5,8,2012,5289,2012-08-05,1
"354",354,5,8,2013,5075,2013-08-05,2
"355",355,5,8,2014,5464,2014-08-05,3
"356",356,5,8,2015,5978,2015-08-05,4
"357",357,5,9,2010,2128,2010-09-05,1
"358",358,5,9,2011,5998,2011-09-05,2
"359",359,5,9,2012,4912,2012-09-05,4
"360",360,5,9,2013,4040,2013-09-05,5
"361",361,5,9,2014,3480,2014-09-05,6
"362",362,5,9,2015,3346,2015-09-05,7
"363",363,5,10,2010,5503,2010-10-05,3
"364",364,5,10,2011,5277,2011-10-05,4
"365",365,5,10,2012,2449,2012-10-05,6
"366",366,5,10,2013,2077,2013-10-05,7
"367",367,5,10,2014,5546,2014-10-05,1
"368",368,5,10,2015,5869,2015-10-05,2
"369",369,5,11,2010,4196,2010-11-05,6
"370",370,5,11,2011,3023,2011-11-05,7
"371",371,5,11,2012,6354,2012-11-05,2
"372",372,5,11,2013,5078,2013-11-05,3
"373",373,5,11,2014,5537,2014-11-05,4
"374",374,5,11,2015,5658,2015-11-05,5
"375",375,5,12,2010,7858,2010-12-05,1
"376",376,5,12,2011,5199,2011-12-05,2
"377",377,5,12,2012,5771,2012-12-05,4
"378",378,5,12,2013,4784,2013-12-05,5
"379",379,5,12,2014,3538,2014-12-05,6
"380",380,5,12,2015,3773,2015-12-05,7
"381",381,6,1,2010,6026,2010-01-06,4
"382",382,6,1,2011,4644,2011-01-06,5
"383",383,6,1,2012,2595,2012-01-06,6
"384",384,6,1,2013,5481,2013-01-06,1
"385",385,6,1,2014,10926,2014-01-06,2
"386",386,6,1,2015,8552,2015-01-06,3
"387",387,6,1,2016,6630,2016-01-06,4
